# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2581906437
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                          
# ........  ..............  ..............................  ................................................................................................................................................................................................
#
     0.08%  progetto        liballegro_font.so.5.2.9        [.] al_draw_textf
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_bo_list_create
     0.08%  progetto        liballegro.so.5.2.9             [.] al_translate_transform
     0.08%  progetto        libc.so.6                       [.] __memchr_avx2
     0.08%  progetto        [kernel.kallsyms]               [k] kmem_cache_free
     0.08%  progetto        libxcb.so.1.1.0                 [.] xcb_send_request_with_fds64
     0.08%  progetto        [kernel.kallsyms]               [k] hrtimer_nanosleep
     0.08%  progetto        [kernel.kallsyms]               [k] copy_from_kernel_nofault
     0.08%  progetto        libc.so.6                       [.] __fstat64
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_patch_ibs
     0.08%  progetto        [kernel.kallsyms]               [k] __wake_up_common
     0.08%  progetto        [kernel.kallsyms]               [k] apparmor_current_getlsmblob_subj
     0.08%  progetto        libc.so.6                       [.] _IO_old_init
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e514
     0.08%  progetto        libOpenGL.so.0.0.0              [.] glClearColor
     0.08%  progetto        libc.so.6                       [.] _int_malloc
     0.08%  progetto        [kernel.kallsyms]               [k] __kmalloc_node_track_caller
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e53f
     0.08%  progetto        radeonsi_dri.so                 [.] 0x000000000022e9c0
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000003d1da0
     0.08%  progetto        [kernel.kallsyms]               [k] copy_page
     0.08%  progetto        [kernel.kallsyms]               [k] proc_pid_status
     0.08%  progetto        libc.so.6                       [.] _IO_no_init
     0.08%  progetto        libc.so.6                       [.] _IO_link_in
     0.08%  progetto        libOpenGL.so.0.0.0              [.] glLoadMatrixf
     0.08%  progetto        [kernel.kallsyms]               [k] __update_load_avg_cfs_rq
     0.08%  progetto        [kernel.kallsyms]               [k] rseq_update_cpu_node_id
     0.08%  progetto        [kernel.kallsyms]               [k] __calc_delta.constprop.0
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] rb_next
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] futex_wait_queue
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000000b6990
     0.08%  progetto        libc.so.6                       [.] _IO_getline_info
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] check_heap_object
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000003713b0
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_entry_free
     0.08%  progetto        libglapi.so.0.0.0               [.] _glapi_get_dispatch
     0.08%  progetto        [kernel.kallsyms]               [k] schedule
     0.08%  progetto        liballegro_ttf.so.5.2.9         [.] 0x0000000000003cd4
     0.08%  progetto        [kernel.kallsyms]               [k] mas_update_gap.part.0
     0.08%  progetto        [kernel.kallsyms]               [k] ____sys_recvmsg
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e557
     0.08%  progetto        liballegro_primitives.so.5.2.9  [.] al_draw_filled_rectangle
     0.08%  progetto        libOpenGL.so.0.0.0              [.] glDisable
     0.08%  progetto        liballegro.so.5.2.9             [.] _al_opengl_set_blender
     0.08%  progetto        [kernel.kallsyms]               [k] _raw_spin_lock
     0.08%  progetto        [kernel.kallsyms]               [k] rmqueue_bulk
     0.08%  progetto        libGLdispatch.so.0.0.0          [.] 0x0000000000040954
     0.08%  progetto        [kernel.kallsyms]               [k] do_filp_open
     0.08%  progetto        [kernel.kallsyms]               [k] pick_next_task_fair
     0.07%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e770
     0.07%  progetto        [kernel.kallsyms]               [k] visit_groups_merge.constprop.0.isra.0
     0.07%  progetto        [kernel.kallsyms]               [k] mutex_lock
     0.07%  progetto        [kernel.kallsyms]               [k] task_mem
     0.07%  progetto        [kernel.kallsyms]               [k] add_wait_queue
     0.07%  progetto        liballegro.so.5.2.9             [.] al_identity_transform
     0.07%  progetto        libxcb.so.1.1.0                 [.] xcb_poll_for_special_event
     0.07%  progetto        radeonsi_dri.so                 [.] 0x0000000000304530
     0.07%  progetto        libc.so.6                       [.] __strlen_avx2
     0.07%  progetto        radeonsi_dri.so                 [.] 0x00000000000bf04a
     0.07%  progetto        [kernel.kallsyms]               [k] file_close_fd
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] avg_vruntime
     0.07%  progetto        [kernel.kallsyms]               [k] find_next_iomem_res
     0.07%  progetto        [kernel.kallsyms]               [k] __slab_free
     0.07%  progetto        radeonsi_dri.so                 [.] 0x00000000000bf072
