# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2534099589
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ..............  ..............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.14%  progetto        libc.so.6                       [.] __getpid
     0.14%  progetto        [kernel.kallsyms]               [k] _copy_to_iter
     0.14%  progetto        liballegro.so.5.2.9             [.] al_is_bitmap_drawing_held
     0.14%  progetto        liballegro.so.5.2.9             [.] al_get_current_display
     0.14%  progetto:cs0    libc.so.6                       [.] pthread_cond_wait@@GLIBC_2.3.2
     0.14%  progetto        [kernel.kallsyms]               [k] refill_obj_stock
     0.14%  progetto        [kernel.kallsyms]               [k] __memcg_slab_post_alloc_hook
     0.14%  progetto        [kernel.kallsyms]               [k] do_syscall_64
     0.13%  progetto        libc.so.6                       [.] usleep
     0.13%  progetto        [kernel.kallsyms]               [k] kmem_cache_free
     0.13%  progetto        liballegro.so.5.2.9             [.] al_get_bitmap_flags
     0.13%  progetto        [kernel.kallsyms]               [k] seq_printf
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_push_to_job
     0.13%  progetto        radeonsi_dri.so                 [.] 0x000000000022e2f0
     0.13%  progetto        [kernel.kallsyms]               [k] seq_write
     0.13%  progetto        liballegro_ttf.so.5.2.9         [.] 0x0000000000002bf0
     0.13%  progetto        [kernel.kallsyms]               [k] do_dentry_open
     0.13%  progetto        [kernel.kallsyms]               [k] newidle_balance
     0.13%  progetto        [kernel.kallsyms]               [k] syscall_return_via_sysret
     0.13%  progetto        libc.so.6                       [.] __strchrnul_ifunc@plt
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] __get_user_8
     0.13%  progetto        [kernel.kallsyms]               [k] kmem_cache_alloc
     0.12%  progetto        [kernel.kallsyms]               [k] aa_path_perm
     0.12%  progetto        libc.so.6                       [.] _IO_getline_info
     0.12%  progetto        liballegro.so.5.2.9             [.] al_utf8_width
     0.12%  progetto        [kernel.kallsyms]               [k] aa_get_buffer
     0.12%  progetto        [kernel.kallsyms]               [k] cgroup_rstat_updated
     0.12%  progetto        libc.so.6                       [.] __GI___libc_cleanup_push_defer
     0.12%  progetto        libc.so.6                       [.] __memcmp_avx2_movbe
     0.12%  progetto        [kernel.kallsyms]               [k] entry_SYSCALL_64
     0.12%  progetto        libGLX_mesa.so.0.0.0            [.] 0x00000000000348c0
     0.12%  progetto        liballegro_font.so.5.2.9        [.] al_draw_textf
     0.12%  progetto        liballegro.so.5.2.9             [.] __tls_get_addr@plt
     0.12%  progetto        [kernel.kallsyms]               [k] ctx_sched_out
     0.12%  progetto        [kernel.kallsyms]               [k] common_nsleep
     0.12%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e573
     0.12%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_pass1
     0.12%  progetto        [kernel.kallsyms]               [k] select_task_rq_fair
     0.12%  progetto:cs0    [kernel.kallsyms]               [k] dma_resv_reserve_fences
     0.12%  progetto        [kernel.kallsyms]               [k] __pte_offset_map
     0.12%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e775
     0.12%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000057940
     0.11%  progetto        [kernel.kallsyms]               [k] __schedule
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_ttm_tt_pte_flags
     0.11%  progetto        [kernel.kallsyms]               [k] lru_gen_add_folio
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] gmc_v9_0_get_vm_pde
     0.11%  progetto        liballegro.so.5.2.9             [.] al_translate_transform
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] schedule
     0.11%  progetto        libc.so.6                       [.] malloc
     0.11%  progetto        [kernel.kallsyms]               [k] path_init
     0.11%  progetto        [kernel.kallsyms]               [k] set_pte_range
