# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:P'
# Event count (approx.): 2617849324
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                 
# ........  ..............  ..............................  .......................................................................................................................................................................................................................................................................
#
     0.08%  progetto        [kernel.kallsyms]               [k] do_dentry_open
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vm_bo_trace_cs
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000000bef82
     0.08%  progetto        liballegro.so.5.2.9             [.] _al_xglx_config_select_visual
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e56f
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e788
     0.08%  progetto        [kernel.kallsyms]               [k] __aa_path_perm
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_bo_list_entry_cmp
     0.08%  progetto        [kernel.kallsyms]               [k] seq_printf
     0.08%  progetto        [kernel.kallsyms]               [k] lru_add_fn
     0.08%  progetto        [kernel.kallsyms]               [k] ____sys_recvmsg
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000003f7060
     0.08%  progetto        liballegro.so.5.2.9             [.] al_get_separate_blender
     0.08%  progetto        [kernel.kallsyms]               [k] apparmor_socket_recvmsg
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000003d05c0
     0.08%  progetto        [kernel.kallsyms]               [k] perf_adjust_freq_unthr_context
     0.08%  progetto        radeonsi_dri.so                 [.] 0x0000000000290a28
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] x64_sys_call
     0.08%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f660
     0.08%  progetto        radeonsi_dri.so                 [.] 0x000000000012c0a0
     0.08%  progetto        [kernel.kallsyms]               [k] cgroup_rstat_updated
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000002ff3f0
     0.08%  progetto        [kernel.kallsyms]               [k] __handle_mm_fault
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e53a
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e770
     0.08%  progetto        libGLdispatch.so.0.0.0          [.] 0x00000000000441c0
     0.08%  progetto        [kernel.kallsyms]               [k] handle_mm_fault
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] pud_huge
     0.08%  progetto        libc.so.6                       [.] _IO_getline_info
     0.08%  progetto        liballegro.so.5.2.9             [.] al_draw_tinted_bitmap_region
     0.08%  progetto        [kernel.kallsyms]               [k] seq_open
     0.08%  progetto        [kernel.kallsyms]               [k] rseq_update_cpu_node_id
     0.08%  progetto        libc.so.6                       [.] __libc_recv
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_pass1
     0.07%  progetto        [kernel.kallsyms]               [k] rseq_ip_fixup
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] ww_mutex_lock_interruptible
     0.07%  progetto        [kernel.kallsyms]               [k] local_clock
